subnum,PN_RT,PN_ACC,VF,MELICET
2,986.98,47,55,38
3,887.56,61,52,45
4,734.55,57,51,45
5,757.11,65,51,44
6,686.97,66,56,46
7,669.29,66,72,48
8,685.91,63,50,45
9,845.42,63,49,48
10,807.11,66,66,48
11,756.65,57,43,48
12,883.58,64,51,47
13,681.86,64,60,48
14,747.85,63,54,47
15,934.38,62,46,49
16,936.33,64,62,47
18,839.09,61,56,47
19,781.85,59,49,46
20,686.8,61,56,46
21,866.65,63,71,49
22,761.32,62,68,28
23,612.03,61,68,46
24,634.26,66,51,46
25,780.57,66,59,47
26,773.41,61,48,45
28,812.86,65,50,40
29,729.22,65,44,47
30,954.85,61,61,48
32,704.68,63,63,46
34,867.61,64,73,45
35,672.29,65,65,48